,Red 1 - 630,Red 2,Green 1 - 521,Green 2,Blue 1 - 466
Retarding Potential,Potential Drop,Potential Drop,Potential Drop,Potential Drop,Potential Drop
0,-191.1,-169.7,-414,-427,-557
0.1,-123.6,-107,-345,-354,-501
0.2,-60.6,-50,-272,-280,-420
0.3,-10.1,-7,-199,-206,-332
0.4,24,18,-134.5,-143,-255
0.5,39.8,28.9,-67.2,-78.1,0
0.6,46,33.5,-11.8,-21.1,0
0.7,47.8,34,32.5,25.7,0
0.8,48.6,34.5,66.1,60.3,0
0.9,48,35,84.8,82,0
1,48.3,35.3,94.2,93.5,0
1.1,48.6,35.6,98.2,95.3,0
1.2,48.7,36.1,100.2,97.3,0
1.3,49,46.7,101.3,97.7,0
1.4,48.1,46.9,99.1,97.9,0
1.5,48.4,47.2,98.4,101.4,0
1.6,48.5,47.4,99,102,0
1.7,48.6,47.6,99.2,102.3,0
1.8,47.3,47.8,99.5,113,0
1.9,48.7,48,99.6,114.3,0
2,48.9,48.2,100.2,114.6,0
2.1,49.2,48.3,100.3,114.9,0
2.2,48.5,48.5,100.6,115.2,0
2.3,48.6,48.6,100.7,115.4,0
2.4,48.6,48.6,101,115.1,0
2.5,51,49,101.1,115.3,0
2.6,50.8,49.2,101.3,115.5,192
2.7,51.5,49.5,101.4,115.7,190
2.8,51,49.8,101.6,115.9,197
2.9,51.3,50.7,101.7,114.9,192
3,51.4,51.7,101.9,115.1,193
